9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1
16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1
16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9
24,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,16
0,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16
0,16,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,16,16
0,16,16,-1,-1,-1,-1,-1,1,-1,-1,10,-1,-1,16,16,16
0,0,24,9,56,-1,-1,-1,9,9,9,9,9,9,24,16,0
0,0,0,16,9,9,9,9,16,24,0,0,16,16,0,0,0
0,0,0,0,24,16,24,24,0,0,0,0,0,24,0,0,0
