1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,9,9,9,9,-1,1,-1
16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,16,9,9,-1
16,16,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,9
16,16,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16
0,16,11,12,1,-1,56,-1,-1,-1,-1,-1,-1,-1,1,-1,10,-1,-1,16,16
0,16,16,11,9,9,9,9,9,-1,-1,-1,-1,-1,9,8,8,8,8,16,16
0,0,16,16,16,16,16,16,16,12,-1,-1,4,-1,-1,16,16,16,16,16,16
0,0,0,0,24,24,0,0,16,11,3,4,12,-1,12,16,16,0,0,24,16
0,0,0,0,0,0,0,0,0,0,12,3,11,3,11,24,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,12,11,11,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
